master set U[bit],master measured U[bit],keithley measured U[V]
0,3524,-60.7654
16,3524,-63.211
32,3523,-63.2017
48,3523,-63.191
64,3523,-63.1798
80,3522,-63.1678
96,3521,-63.1548
112,3520,-63.1401
128,3518,-63.1023
144,3515,-63.0444
160,3512,-62.9833
176,3508,-62.9215
192,3504,-62.8605
208,3501,-62.7986
224,3498,-62.737
240,3495,-62.6747
256,3491,-62.6143
272,3488,-62.5527
288,3484,-62.491
304,3482,-62.4293
320,3478,-62.4293
336,3474,-62.3067
352,3471,-62.2453
368,3468,-62.1833
384,3464,-62.1217
400,3461,-62.0614
416,3458,-61.9997
432,3454,-61.9385
448,3451,-61.8766
464,3447,-61.8155
480,3445,-61.7531
496,3441,-61.6913
512,3437,-61.6321
528,3434,-61.5708
544,3431,-61.5093
560,3428,-61.4478
576,3425,-61.3865
592,3421,-61.3243
608,3418,-61.263
624,3414,-61.2007
640,3411,-61.1402
656,3408,-61.0791
672,3404,-61.0173
688,3402,-60.9547
704,3398,-60.8942
720,3394,-60.8321
736,3391,-60.7714
752,3388,-60.7091
768,3384,-60.6491
784,3381,-60.5871
800,3377,-60.5257
816,3374,-60.4633
832,3371,-60.402
848,3368,-60.3397
864,3364,-60.2779
880,3361,-60.2169
896,3357,-60.1557
912,3354,-60.0944
928,3351,-60.0944
944,3348,-59.9709
960,3344,-59.9098
976,3341,-59.8485
992,3338,-59.7873
1008,3334,-59.7259
1024,3331,-59.6657
1040,3328,-59.6045
1056,3324,-59.543
1072,3321,-59.4809
1088,3317,-59.4193
1104,3314,-59.358
1120,3311,-59.2962
1136,3307,-59.2342
1152,3304,-59.1728
1168,3301,-59.1116
1184,3298,-59.0494
1200,3294,-58.9871
1216,3291,-58.9251
1232,3287,-58.8637
1248,3284,-58.8018
1264,3280,-58.7402
1280,3278,-58.6793
1296,3273,-58.6173
1312,3271,-58.5559
1328,3267,-58.4938
1344,3264,-58.4317
1360,3261,-58.37
1376,3257,-58.3086
1392,3254,-58.2472
1408,3250,-58.1859
1424,3248,-58.1248
1440,3244,-58.0631
1456,3240,-58.0013
1472,3237,-57.9406
1488,3234,-57.8782
1504,3230,-57.8164
1520,3227,-57.755
1536,3225,-57.6956
1552,3220,-57.634
1568,3217,-57.5727
1584,3214,-57.5106
1600,3210,-57.4486
1616,3207,-57.3864
1632,3203,-57.3242
1648,3200,-57.2631
1664,3196,-57.2018
1680,3193,-57.1401
1696,3190,-57.1401
1712,3186,-57.0157
1728,3184,-56.954
1744,3180,-56.8927
1760,3177,-56.8313
1776,3174,-56.7695
1792,3170,-56.7089
1808,3166,-56.6479
1824,3163,-56.5858
1840,3160,-56.5247
1856,3157,-56.4639
1872,3153,-56.4024
1888,3151,-56.3414
1904,3147,-56.2796
1920,3143,-56.2174
1936,3140,-56.1569
1952,3137,-56.0947
1968,3134,-56.0328
1984,3130,-55.9721
2000,3127,-55.9098
2016,3123,-55.848
2032,3120,-55.7861
2048,3117,-55.725
2064,3113,-55.6641
2080,3111,-55.6029
2096,3107,-55.5408
2112,3104,-55.4793
2128,3101,-55.4176
2144,3096,-55.3556
2160,3093,-55.2937
2176,3090,-55.2327
2192,3087,-55.1713
2208,3083,-55.1101
2224,3080,-55.048
2240,3077,-54.9866
2256,3073,-54.9253
2272,3072,-54.8636
2288,3066,-54.8019
2304,3063,-54.7426
2320,3060,-54.6813
2336,3057,-54.62
2352,3053,-54.5581
2368,3050,-54.4962
2384,3046,-54.4341
2400,3043,-54.3733
2416,3040,-54.3105
2432,3037,-54.2499
2448,3033,-54.1882
2464,3030,-54.126
2480,3026,-54.0638
2496,3023,-54.0023
2512,3020,-53.9412
2528,3016,-53.8796
2544,3013,-53.8173
2560,3010,-53.7565
2576,3007,-53.6937
2592,3003,-53.6324
2608,2999,-53.5713
2624,2996,-53.5094
2640,2993,-53.4477
2656,2989,-53.3865
2672,2986,-53.3251
2688,2982,-53.2627
2704,2980,-53.2009
2720,2976,-53.1386
2736,2973,-53.077
2752,2970,-53.0156
2768,2966,-52.9546
2784,2963,-52.8926
2800,2959,-52.831
2816,2956,-52.7696
2832,2953,-52.7084
2848,2949,-52.6473
2864,2946,-52.5853
2880,2942,-52.5243
2896,2939,-52.4632
2912,2936,-52.4009
2928,2932,-52.3394
2944,2929,-52.2779
2960,2925,-52.2166
2976,2922,-52.1543
2992,2919,-52.0925
3008,2915,-52.0313
3024,2912,-51.9697
3040,2910,-51.9078
3056,2906,-51.8459
3072,2903,-51.7853
3088,2900,-51.724
3104,2896,-51.6626
3120,2892,-51.6013
3136,2889,-51.5393
3152,2885,-51.4781
3168,2883,-51.4171
3184,2879,-51.3555
3200,2876,-51.2937
3216,2873,-51.2323
3232,2870,-51.1708
3248,2865,-51.1091
3264,2863,-51.0478
3280,2859,-50.9859
3296,2855,-50.9245
3312,2852,-50.8624
3328,2849,-50.8011
3344,2845,-50.7397
3360,2842,-50.6774
3376,2839,-50.6155
3392,2835,-50.5545
3408,2832,-50.4935
3424,2829,-50.4326
3440,2826,-50.3706
3456,2822,-50.3091
3472,2818,-50.2474
3488,2816,-50.1856
3504,2812,-50.124
3520,2809,-50.0626
3536,2805,-50.0011
3552,2802,-49.9394
3568,2799,-49.8773
3584,2796,-49.8163
3600,2792,-49.7554
3616,2788,-49.6943
3632,2785,-49.6326
3648,2782,-49.5698
3664,2779,-49.5078
3680,2775,-49.4466
3696,2772,-49.3848
3712,2769,-49.3848
3728,2765,-49.262
3744,2762,-49.2007
3760,2758,-49.1386
3776,2755,-49.077
3792,2752,-49.0155
3808,2749,-48.9538
3824,2745,-48.8912
3840,2742,-48.8293
3856,2739,-48.7672
3872,2735,-48.7063
3888,2732,-48.6445
3904,2729,-48.5834
3920,2726,-48.5224
3936,2722,-48.4615
3952,2719,-48.3998
3968,2715,-48.3389
3984,2712,-48.2775
4000,2709,-48.2775
4016,2706,-48.1675
4032,2706,-48.1599
4048,2707,-48.1595
4064,2706,-48.1601
4080,2706,-48.1615
